#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Absiella argi	Bacteria	Terrabacteria group	Firmicutes	pABar1	NZ_AP019696.1	AP019696	4.73	34.4397	6	-	-	-	6	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP050915.1	CP050915	92.021	34.4867	102	-	-	-	105	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_1	NZ_CP051870.1	CP051870	48.239	37.0758	49	-	-	-	51	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_2	NZ_CP051871.1	CP051871	8.495	33.3608	9	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_3	NZ_CP051872.1	CP051872	8.215	37.5654	10	-	-	-	13	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_4	NZ_CP051873.1	CP051873	6.619	36.9995	7	-	-	-	7	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_5	NZ_CP051874.1	CP051874	2.697	36.6333	5	-	-	-	5	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-B004d-c_1	NZ_CP051876.1	CP051876	48.239	37.0758	49	-	-	-	51	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-B004d-c_2	NZ_CP051877.1	CP051877	8.495	33.3608	9	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-B004d-c_3	NZ_CP051878.1	CP051878	8.215	37.5654	9	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-B004d-c_4	NZ_CP051879.1	CP051879	2.697	36.6333	5	-	-	-	5	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C63_1	NZ_CP051867.1	CP051867	81.353	41.1196	69	-	-	-	86	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C63_2	NZ_CP051868.1	CP051868	10.662	35.1623	11	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C102_1	NZ_CP051863.1	CP051863	90.089	40.2213	70	-	-	-	88	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C102_2	NZ_CP051864.1	CP051864	67.097	37.407	25	-	-	-	59	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C102_3	NZ_CP051865.1	CP051865	19.853	37.0574	29	-	-	-	29	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCUVET596	NZ_CP041149.1	CP041149	82.016	38.3303	64	-	-	-	75	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pABF9692	NZ_CP048828.1	CP048828	264.805	39.1647	226	-	-	-	255	-
Acinetobacter baumannii 1656-2	Bacteria	Proteobacteria	Gammaproteobacteria	ABKp1	NC_017163.1	CP001922	74.451	33.4663	93	-	-	-	95	4
Acinetobacter baumannii 1656-2	Bacteria	Proteobacteria	Gammaproteobacteria	ABKp2	NC_017164.1	CP001923	8.041	33.5033	7	-	-	-	8	1
Acinetobacter baumannii 3909	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABST78	NZ_AEOZ01000236.1	AEOZ01000236	26.411	37.2648	30	-	-	-	33	3
Acinetobacter baumannii 3990	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABST2	NZ_AEOY01000095.1	AEOY01000095	63.32	33.4713	74	-	-	-	78	4
Acinetobacter baumannii 3990	Bacteria	Proteobacteria	Gammaproteobacteria	p2ABST2	NZ_AEOY01000096.1	AEOY01000096	21.846	37.2746	21	-	-	-	29	8
Acinetobacter baumannii 4190	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABST25	-	AEPA01000395.1	15.267	35.5276	-	-	-	-	-	-
Acinetobacter baumannii 4190	Bacteria	Proteobacteria	Gammaproteobacteria	p2ABST25	-	AEPA01000396.1	8.97	34.359	-	-	-	-	-	-
Acinetobacter baumannii AB0057	Bacteria	Proteobacteria	Gammaproteobacteria	pAB0057	NC_011585.2	CP001183	8.731	34.3718	8	-	-	-	8	-
Acinetobacter baumannii AB5075	Bacteria	Proteobacteria	Gammaproteobacteria	pAB5075	NZ_JHUI01000005.1	JHUI01000005	8.819	34.2442	9	-	-	-	9	-
Acinetobacter baumannii AC12	Bacteria	Proteobacteria	Gammaproteobacteria	pAC12	-	CP007550.1	8.731	34.3718	9	-	-	-	9	-
Acinetobacter baumannii AC30	Bacteria	Proteobacteria	Gammaproteobacteria	pAC30a	-	CP007578.1	8.685	34.3466	9	-	-	-	9	-
Acinetobacter baumannii AC30	Bacteria	Proteobacteria	Gammaproteobacteria	pAC30b	-	CP007579.1	16.236	45.1712	15	-	-	-	15	-
Acinetobacter baumannii AC30	Bacteria	Proteobacteria	Gammaproteobacteria	pAC30c	-	CP007580.1	71.433	33.7183	99	-	-	-	99	-
Acinetobacter baumannii ACICU	Bacteria	Proteobacteria	Gammaproteobacteria	pACICU1	NC_010605.1	CP000864	28.279	37.8443	23	-	-	-	38	15
Acinetobacter baumannii ACICU	Bacteria	Proteobacteria	Gammaproteobacteria	pACICU2	NC_010606.1	CP000865	64.366	33.4012	68	-	-	-	90	22
Acinetobacter baumannii ACICU	Bacteria	Proteobacteria	Gammaproteobacteria	pACICU1	NZ_CP031381.1	CP031381	24.268	37.5062	23	-	-	-	34	11
Acinetobacter baumannii ACICU	Bacteria	Proteobacteria	Gammaproteobacteria	pACICU2	NZ_CP031382.1	CP031382	70.101	33.4831	93	-	-	-	95	2
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	pAB1	-	CP000522.1	13.408	36.165	11	-	-	-	11	-
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	pAB2	-	CP000523.1	11.302	35.1796	5	-	-	-	5	-
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP039024.1	CP039024	30.876	35.3446	9	-	-	-	38	29
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP039026.1	CP039026	30.41	35.8073	24	-	-	-	40	16
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP039027.1	CP039027	39.017	39.8237	21	-	-	-	34	13
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP039029.1	CP039029	11.429	35.1212	13	-	-	-	15	2
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP039030.1	CP039030	13.536	36.1259	16	-	-	-	18	2
Acinetobacter baumannii AYE	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABAYE	NC_010401.1	CU459137	5.644	34.5145	7	-	-	-	7	-
Acinetobacter baumannii AYE	Bacteria	Proteobacteria	Gammaproteobacteria	p2ABAYE	NC_010402.1	CU459138	9.661	34.396	10	-	-	-	10	-
Acinetobacter baumannii AYE	Bacteria	Proteobacteria	Gammaproteobacteria	p4ABAYE	NC_010403.1	CU459139	2.726	37.6009	5	-	-	-	5	-
Acinetobacter baumannii AYE	Bacteria	Proteobacteria	Gammaproteobacteria	p3ABAYE	NC_010404.1	CU459140	94.413	37.4842	78	-	-	-	94	17
Acinetobacter baumannii BJAB07104	Bacteria	Proteobacteria	Gammaproteobacteria	p1BJAB07104	NC_021727.1	CP003887	70.17	33.8236	83	-	-	-	84	1
Acinetobacter baumannii BJAB07104	Bacteria	Proteobacteria	Gammaproteobacteria	p2BJAB07104	NC_021728.1	CP003907	20.139	47.0679	19	-	-	-	24	5
Acinetobacter baumannii BJAB0715	Bacteria	Proteobacteria	Gammaproteobacteria	pBJAB0715	NC_021734.1	CP003848	52.268	40.4263	44	-	-	-	53	9
Acinetobacter baumannii BJAB0868	Bacteria	Proteobacteria	Gammaproteobacteria	p1BJAB0868	NC_021730.1	CP003850	8.721	34.3424	8	-	-	-	8	-
Acinetobacter baumannii BJAB0868	Bacteria	Proteobacteria	Gammaproteobacteria	p2BJAB0868	NC_021731.1	CP003888	70.167	33.8279	82	-	-	-	84	2
Acinetobacter baumannii BJAB0868	Bacteria	Proteobacteria	Gammaproteobacteria	p3BJAB0868	NC_021732.1	CP003908	20.139	47.0927	19	-	-	-	24	5
Acinetobacter baumannii Canada BC-5	Bacteria	Proteobacteria	Gammaproteobacteria	pCanadaBC5-8.7	NZ_AFDN01000003.1	AFDN01000003	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii D1279779	Bacteria	Proteobacteria	Gammaproteobacteria	pD1279779	NC_020525.1	CP003968	7.416	32.5917	10	-	-	-	10	-
Acinetobacter baumannii IS-123	Bacteria	Proteobacteria	Gammaproteobacteria	pIS123-12	NZ_ALII01000018.1	ALII01000018	11.6	37.0431	10	-	-	-	12	1
Acinetobacter baumannii IS-123	Bacteria	Proteobacteria	Gammaproteobacteria	pIS123-18	NZ_ALII01000019.1	ALII01000019	17.984	34.2026	18	-	-	-	18	-
Acinetobacter baumannii IS-123	Bacteria	Proteobacteria	Gammaproteobacteria	pIS123-67	NZ_ALII01000020.1	ALII01000020	67.025	33.3831	81	-	-	-	85	4
Acinetobacter baumannii LAC-4	Bacteria	Proteobacteria	Gammaproteobacteria	pABLAC1	NZ_CP007713.1	CP007713	8.006	31.9885	8	-	-	-	8	-
Acinetobacter baumannii LAC-4	Bacteria	Proteobacteria	Gammaproteobacteria	pABLAC2	NZ_CP007714.1	CP007714	6.076	39.2693	5	-	-	-	6	1
Acinetobacter baumannii MDR-TJ	Bacteria	Proteobacteria	Gammaproteobacteria	pABTJ1	NC_017848.1	CP003501	77.528	34.0458	90	-	-	-	94	4
Acinetobacter baumannii MDR-TJ	Bacteria	Proteobacteria	Gammaproteobacteria	pABTJ2	NC_020524.1	CP004359	110.967	41.6142	116	-	1	-	119	1
Acinetobacter baumannii MRSN 3405	Bacteria	Proteobacteria	Gammaproteobacteria	pMRSN3405-6	NZ_CM003320.1	CM003320	6.078	39.2563	6	-	-	-	6	-
Acinetobacter baumannii MRSN 3527	Bacteria	Proteobacteria	Gammaproteobacteria	pMRSN3527-6	NZ_CM003318.1	CM003318	6.068	39.2716	5	-	-	-	6	1
Acinetobacter baumannii MRSN 3942	Bacteria	Proteobacteria	Gammaproteobacteria	pMRSN3942-6	NZ_CM003319.1	CM003319	6.078	39.2563	6	-	-	-	6	-
Acinetobacter baumannii MRSN 4106	Bacteria	Proteobacteria	Gammaproteobacteria	pMRSN4106-6	NZ_CM003315.1	CM003315	6.078	39.2563	6	-	-	-	6	-
Acinetobacter baumannii MRSN 58	Bacteria	Proteobacteria	Gammaproteobacteria	pMRSN58-2.7	NZ_CM003316.1	CM003316	2.725	37.7982	4	-	-	-	4	-
Acinetobacter baumannii MRSN 58	Bacteria	Proteobacteria	Gammaproteobacteria	pMRSN58-8.7	NZ_CM003317.1	CM003317	8.731	34.3718	8	-	-	-	8	-
Acinetobacter baumannii MRSN 7339	Bacteria	Proteobacteria	Gammaproteobacteria	pMRSN7339-2.3	NZ_CM003313.1	CM003313	2.343	38.7537	3	-	-	-	3	-
Acinetobacter baumannii MRSN 7339	Bacteria	Proteobacteria	Gammaproteobacteria	pMRSN7339-8.7	NZ_CM003314.1	CM003314	8.731	34.3718	8	-	-	-	8	-
Acinetobacter baumannii Naval-17	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval17-13	NZ_AFDO01000021.1	AFDO01000021	12.636	37.1478	11	-	-	-	13	1
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-6.1	-	AFDA02000006.1	6.078	39.2563	5	-	-	-	5	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-74	-	AFDA02000007.1	74.42	34.4504	108	-	-	-	108	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-8.4	-	AFDA02000008.1	8.422	36.7846	8	-	-	-	8	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-131	-	AFDA02000009.1	130.66	36.2904	143	-	-	-	143	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-5.7	-	AFDA02000010.1	5.676	36.117	8	-	-	-	8	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-7.0	-	AFDA02000011.1	7.032	35.4522	8	-	-	-	8	-
Acinetobacter baumannii Naval-81	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval81-26	NZ_AFDB02000003.1	AFDB02000003	26.089	34.0412	28	-	-	-	29	1
Acinetobacter baumannii Naval-81	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval81-67	NZ_AFDB02000004.1	AFDB02000004	67.012	33.3821	82	-	-	-	86	4
Acinetobacter baumannii Naval-81	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval81-13	NZ_AFDB02000005.1	AFDB02000005	12.634	37.1458	10	-	-	-	13	2
Acinetobacter baumannii OIFC032	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC032-101	NZ_AFCZ02000003.1	AFCZ02000003	101.298	39.217	85	-	1	-	101	17
Acinetobacter baumannii OIFC032	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC032-8.6	NZ_AFCZ02000004.1	AFCZ02000004	8.604	31.59	12	-	-	-	13	1
Acinetobacter baumannii OIFC109	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC109-122	NZ_ALAL01000013.1	ALAL01000013	122.469	35.8336	124	-	-	-	128	5
Acinetobacter baumannii OIFC137	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC137-122	NZ_AFDK01000004.1	AFDK01000004	122.461	35.8351	123	-	-	-	128	6
Acinetobacter baumannii OIFC143	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC143-2.3	NZ_AFDL01000005.1	AFDL01000005	2.277	39.9209	1	-	-	-	1	-
Acinetobacter baumannii OIFC143	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC143-70	NZ_AFDL01000006.1	AFDL01000006	69.518	33.8732	86	-	-	-	89	3
Acinetobacter baumannii OIFC143	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC143-6.2	NZ_AFDL01000007.1	AFDL01000007	6.241	31.95	9	-	-	-	9	-
Acinetobacter baumannii OIFC143	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC143-128	NZ_AFDL01000008.1	AFDL01000008	127.633	36.2806	128	-	-	-	136	8
Acinetobacter baumannii OIFC189	Bacteria	Proteobacteria	Gammaproteobacteria	pOIFC189-111	NZ_AFDM01000010.1	AFDM01000010	110.967	41.6169	116	-	1	-	119	2
Acinetobacter baumannii PKAB07	Bacteria	Proteobacteria	Gammaproteobacteria	pPKAB07	NZ_CP006964.1	CP006964	8.805	34.4009	10	-	-	-	10	-
Acinetobacter baumannii SDF	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABSDF	-	CU468231.1	6.106	34.5398	8	-	-	-	8	-
Acinetobacter baumannii SDF	Bacteria	Proteobacteria	Gammaproteobacteria	p2ABSDF	-	CU468232.1	25.014	34.8925	30	-	-	-	32	2
Acinetobacter baumannii SDF	Bacteria	Proteobacteria	Gammaproteobacteria	p3ABSDF	-	CU468233.1	24.922	34.3953	24	-	-	-	26	2
Acinetobacter baumannii TCDC-AB0715	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABTCDC0715	-	CP002523.1	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii TCDC-AB0715	Bacteria	Proteobacteria	Gammaproteobacteria	p2ABTCDC0715	-	CP002524.1	70.894	33.3399	95	-	-	-	95	-
Acinetobacter baumannii UH10707	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH5-114	NZ_AYOI01000002.1	AYOI01000002	114.115	42.791	129	-	-	-	132	3
Acinetobacter baumannii UH19608	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH2a-5.6	NZ_AYFZ01000080.1	AYFZ01000080	5.636	37.154	7	-	-	-	7	-
Acinetobacter baumannii UH19608	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH3b-7.8	NZ_AYFZ01000083.1	AYFZ01000083	7.819	33.9685	10	-	-	-	10	-
Acinetobacter baumannii UH2107	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH4-111	NZ_AYFW01000101.1	AYFW01000101	111.007	41.6163	115	-	1	-	118	2
Acinetobacter baumannii UH7007	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH6b-10	NZ_AYFI01000019.1	AYFI01000019	10.03	36.8993	11	-	-	-	11	-
Acinetobacter baumannii UH7607	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH3a-8.2	NZ_AYFH01000048.1	AYFH01000048	8.19	34.4567	10	-	-	-	10	-
Acinetobacter baumannii UH7607	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH2b-5.4	NZ_AYFH01000057.1	AYFH01000057	5.355	36.7507	7	-	-	-	7	-
Acinetobacter baumannii UH9707	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH6a-8.8	NZ_AYEX01000118.1	AYEX01000118	8.763	34.406	9	-	-	-	9	-
Acinetobacter baumannii UH9907	Bacteria	Proteobacteria	Gammaproteobacteria	pABUH1-74	NZ_AYOH01000010.1	AYOH01000010	74.089	33.669	91	-	-	-	94	3
Acinetobacter baumannii ZW85-1	Bacteria	Proteobacteria	Gammaproteobacteria	pAbNDM-1	NC_019985.2	JN377410	48.368	40.748	50	-	-	-	52	1
Acinetobacter baumannii ZW85-1	Bacteria	Proteobacteria	Gammaproteobacteria	ZW85p2	NC_023031.1	CP006769	113.866	41.9019	118	-	1	-	126	7
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	pAbe229-1	NZ_CM012182.1	CM012182	1.329	36.9451	1	-	-	-	1	-
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	pAbe229-114	NZ_CM012183.1	CM012183	114.007	42.1685	102	-	-	-	113	11
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	pAbe229-15	NZ_CM012184.1	CM012184	15.389	34.9665	16	-	-	-	16	-
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	pAbe229-4	NZ_CM012185.1	CM012185	4.45	36.427	7	-	-	-	7	-
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	pAbe229-9	NZ_CM012186.1	CM012186	9.154	35.4162	13	-	-	-	14	1
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	pNDM229	NZ_CM012324.1	CM012324	44.56	40.8057	49	-	-	-	51	2
Acinetobacter calcoaceticus	Bacteria	Proteobacteria	Gammaproteobacteria	pMMCU1	NC_013056.1	GQ342610	8.771	34.7623	6	-	-	-	6	-
Acinetobacter calcoaceticus	Bacteria	Proteobacteria	Gammaproteobacteria	pNDM-WS2	NC_024959.1	KJ018153	13.94	46.4132	13	-	-	-	13	-
Acinetobacter calcoaceticus	Bacteria	Proteobacteria	Gammaproteobacteria	pCA16	NZ_CP020001.1	CP020001	5.92	30.8446	6	-	-	-	7	1
Acinetobacter chinensis	Bacteria	Proteobacteria	Gammaproteobacteria	p1_010005	NZ_CP032127.1	CP032127	18.155	35.9405	18	-	-	-	18	-
Acinetobacter chinensis	Bacteria	Proteobacteria	Gammaproteobacteria	p2_010005	NZ_CP032128.1	CP032128	5.433	39.5546	5	-	-	-	6	1
Acinetobacter chinensis	Bacteria	Proteobacteria	Gammaproteobacteria	p3_010005	NZ_CP032129.1	CP032129	4.353	37.3995	4	-	-	-	4	-
Acinetobacter chinensis	Bacteria	Proteobacteria	Gammaproteobacteria	p4_010005	NZ_CP032130.1	CP032130	1.398	40.2003	-	-	-	-	-	-
Acinetobacter chinensis	Bacteria	Proteobacteria	Gammaproteobacteria	p5_010005	NZ_CP032131.1	CP032131	1.243	39.4208	1	-	-	-	1	-
Acinetobacter chinensis	Bacteria	Proteobacteria	Gammaproteobacteria	pNDM1_010005	NZ_CP032132.1	CP032132	39.357	42.2568	43	-	-	-	44	1
Acinetobacter chinensis	Bacteria	Proteobacteria	Gammaproteobacteria	pOXA58_010005	NZ_CP032133.1	CP032133	66.715	40.4272	52	-	-	-	63	11
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	pNDM1_060092	NZ_CP035935.1	CP035935	48.56	40.7558	52	-	-	-	54	2
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	p1_060092	NZ_CP035936.1	CP035936	177.151	40.0709	152	-	9	1	168	6
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	p2_060092	NZ_CP035937.1	CP035937	18.761	40.8134	23	-	-	-	24	1
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	p3_060092	NZ_CP035938.1	CP035938	12.247	33.3306	6	-	-	-	6	-
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	p4_060092	NZ_CP035939.1	CP035939	9.699	36.911	9	-	-	-	9	-
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	p5_060092	NZ_CP035940.1	CP035940	8.138	35.0332	7	-	-	-	7	-
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	p6_060092	NZ_CP035941.1	CP035941	4.692	35.2728	4	-	-	-	6	2
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	p7_060092	NZ_CP035942.1	CP035942	2.123	37.447	2	-	-	-	2	-
Acinetobacter cumulans	Bacteria	Proteobacteria	Gammaproteobacteria	p8_060092	NZ_CP035943.1	CP035943	1.791	40.0893	2	-	-	-	2	-
Acinetobacter defluvii	Bacteria	Proteobacteria	Gammaproteobacteria	p1_010030	NZ_CP029389.2	CP029389	76.885	36.6756	90	-	-	-	93	3
Acinetobacter defluvii	Bacteria	Proteobacteria	Gammaproteobacteria	p2_010030	NZ_CP029390.2	CP029390	7.173	33.64	10	-	-	-	10	-
Acinetobacter defluvii	Bacteria	Proteobacteria	Gammaproteobacteria	p3_010030	NZ_CP029391.2	CP029391	5.017	37.353	7	-	-	-	7	-
Acinetobacter defluvii	Bacteria	Proteobacteria	Gammaproteobacteria	p4_010030	NZ_CP029392.2	CP029392	4.761	35.4337	7	-	-	-	7	-
Acinetobacter defluvii	Bacteria	Proteobacteria	Gammaproteobacteria	p5_010030	NZ_CP029393.2	CP029393	4.7	39.2766	3	-	-	-	4	1
Acinetobacter defluvii	Bacteria	Proteobacteria	Gammaproteobacteria	p6_010030	NZ_CP029394.2	CP029394	3.063	36.5981	3	-	-	-	3	-
Acinetobacter defluvii	Bacteria	Proteobacteria	Gammaproteobacteria	p7_010030	NZ_CP029395.2	CP029395	1.381	39.8986	1	-	-	-	1	-
Acinetobacter defluvii	Bacteria	Proteobacteria	Gammaproteobacteria	pOXA58_010030	NZ_CP029396.2	CP029396	355.358	39.5089	327	-	-	-	373	46
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP018872.1	CP018872	56.602	39.7777	40	-	-	-	49	9
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP018873.1	CP018873	39.508	39.5388	36	-	-	-	46	10
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pXH901	NZ_CP018261.1	CP018261	54.698	38.7363	36	-	-	-	57	21
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP032136.1	CP032136	15.045	36.876	12	-	-	-	15	3
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP032137.1	CP032137	98.328	35.6928	114	-	-	-	125	11
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAHTJR1	NZ_CP038010.1	CP038010	306.131	40.059	247	-	-	-	314	67
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAHTJR2	NZ_CP038011.1	CP038011	13.835	40.73	10	-	-	-	15	5
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaemAN54c	NZ_CP041225.1	CP041225	12.84	36.0748	19	-	-	-	19	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaemAN54b	NZ_CP041226.1	CP041226	11.418	43.1687	12	-	-	-	13	1
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	plUnnamed	NZ_CP041227.1	CP041227	6.404	35.0562	7	-	-	-	7	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaemAN54a	NZ_CP041228.1	CP041228	4.723	39.2335	6	-	-	-	6	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAheAN54-NDM-1_pAhae	NZ_CP041229.1	CP041229	45.46	41.0141	50	-	-	-	50	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaem5227b	NZ_CP031989.1	CP031989	12.769	35.0771	17	-	-	-	17	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaem5227a	NZ_CP031990.1	CP031990	5.723	35.8553	6	-	-	-	6	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaemAN59c	NZ_CP031973.1	CP031973	82.274	41.3849	76	-	-	-	81	5
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaemAN59b	NZ_CP031974.1	CP031974	8.922	35.2836	10	-	-	-	10	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaemAN59a	NZ_CP031975.1	CP031975	6.725	34.7212	9	-	-	-	9	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaemAN43b	NZ_CP031977.1	CP031977	83.559	41.3253	77	-	-	-	83	6
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaemAN43a	NZ_CP031978.1	CP031978	6.681	34.7702	9	-	-	-	9	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaem2126chf	NZ_CP031992.1	CP031992	70.629	39.185	62	-	-	-	68	6
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaem2126che	NZ_CP031993.1	CP031993	21.807	34.9567	25	-	-	-	25	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaem2126chd	NZ_CP031994.1	CP031994	10.554	39.4542	13	-	-	-	13	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaem2126chc	NZ_CP031995.1	CP031995	6.95	34.5899	5	-	-	-	5	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaem2126chb	NZ_CP031996.1	CP031996	5.594	39.6675	4	-	-	-	4	-
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	pAhaem2126cha	NZ_CP031997.1	CP031997	4.28	41.3785	4	-	-	-	5	1
